Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Programador De Centro De Usinagem,Grupo FX,"4,5",74 avaliações,Santo André - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-programador-centro-usinagem-em-sao-paulo__9324594.aspx
Promotor De Vendas - Rio De Janeiro,EMPRESA CONFIDENCIAL,EMPRESA CONFIDENCIAL,"4,5",Rio de Janeiro - RJ,Presencial,"R$ 1.537,00 a R$ 1.998,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-rio-janeiro-em-rio-janeiro__9331212.aspx
LÍDER DE LIMPEZA - COBERTURA DE FÉRIAS EM VÁRIOS POSTOS,PAINEIRAS LIMPEZA E SERVICOS GERAIS LTDA,"4,5",987 avaliações,São Paulo - SP,Presencial,"R$ 1.734,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-lider-limpeza-cobertura-ferias-varios-postos-em-sao-paulo__9324283.aspx
Assistente De Gestão De Incidentes - Rio De Janeiro - RJ,EMPRESA CONFIDENCIAL,EMPRESA CONFIDENCIAL,Sem avaliações,Rio de Janeiro - RJ,Presencial,"R$ 1.957,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-gestao-incidentes-rio-janeiro-rj-em-rio-janeiro__9330258.aspx
Assistente Administrativo (Zona Leste),EMPREGGA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-administrativo-zona-leste-em-sao-paulo__9326448.aspx
Estágio Business Intelligence,BUBA BABY / MART COLLECTION,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.390,00 a R$ 1.400,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-business-intelligence-em-sao-paulo__9324086.aspx
Atendente - SEM EXPERIÊNCIA.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-atendente-experiencia-em-sao-paulo__9326182.aspx
Auxiliar De Logística,CEU AZUL,"3,8",29 avaliações,Jundiaí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-logistica-em-sao-paulo__9325582.aspx
Ajudante De Manutenção Civil - Angatuba - SP,ADECCO,"4,4",2.331 avaliações,Angatuba - SP,Presencial,"R$ 2.376,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-ajudante-manutencao-civil-angatuba-sp-em-sao-paulo__9326257.aspx
Pizzaiolo - Zona Norte,Blitz Recursos Humanos,"3,7",535 avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.200,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-pizzaiolo-zona-norte-em-sao-paulo__9324682.aspx
Servente De Obras,RHF TALENTOS,179 avaliações,"4,5",Rio de Janeiro - RJ,PCD Presencial,"R$ 2.662,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-servente-obras-em-rio-janeiro__9331584.aspx
Mecânico De Manutenção,OFICNA BRASIL,Sem nota,Sem avaliações,Campinas - SP,Presencial,"R$ 2.000,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-mecanico-manutencao-em-sao-paulo__9331760.aspx
Fresador Ferramenteiro,EB CORPORATE,"4,3",24 avaliações,São Caetano do Sul - SP,Presencial,"R$ 3.500,00 a R$ 3.740,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-fresador-ferramenteiro-em-sao-paulo__9326363.aspx
AUXILIAR DE SERVIÇOS GERAIS - PARAÍSO,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 1.589,00 a R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-paraiso-em-sao-paulo__9326487.aspx
Vendedor Interno JR,NBK SOLUCOES,Sem nota,Sem avaliações,Adamantina - SP,Presencial,"R$ 1.800,00 a R$ 1.900,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-interno-jr-em-sao-paulo__9324049.aspx
Médico Do Trabalho,AMCI,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-medico-do-trabalho-em-sao-paulo__9325804.aspx
Auxiliar De Cozinha,Switch App,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.549,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cozinha-em-sao-paulo__9331820.aspx
Secretária,EMPRESA CONFIDENCIAL,EMPRESA CONFIDENCIAL,Sem avaliações,Rio de Janeiro - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-secretaria-em-rio-janeiro__9331581.aspx
Auxiliar De Cozinha,LOTUS PARTICIPAÇÕES,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.637,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cozinha-em-sao-paulo__9326167.aspx
Jovem Aprendiz Administrativo,REDE D'OR SAO LUIZ S.A.,"4,4",20.871 avaliações,Santo André - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-jovem-aprendiz-administrativo-em-sao-paulo__9323995.aspx
